LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"280440 Neópolis";-;1;-;-;-;-;1
"280445 Nossa Senhora Aparecida";-;-;-;2;-;-;2
"280480 Nossa Senhora do Socorro";1;1;-;3;5;12;22
"280510 Pedrinhas";-;-;-;-;-;1;1
"280550 Poço Verde";-;-;-;-;1;-;1
"280590 Riachuelo";-;-;1;1;-;-;2
"280620 Salgado";-;-;-;-;-;1;1
"280640 Santana do São Francisco";-;-;-;-;-;1;1
"280660 Santo Amaro das Brotas";-;-;-;1;1;2;4
"280670 São Cristóvão";-;-;-;-;2;1;3
"280680 São Domingos";-;-;-;1;-;-;1
"280740 Tobias Barreto";-;-;-;-;1;1;2
"290070 Alagoinhas";1;1;-;1;1;1;5
"290110 Amélia Rodrigues";-;-;-;-;-;2;2
"290210 Araci";-;-;-;-;1;-;1
"290240 Aurelino Leal";-;1;-;-;-;-;1
"290270 Barra";-;-;-;-;1;-;1
"290475 Buritirama";-;-;-;-;-;1;1
"290485 Cabaceiras do Paraguaçu";-;-;-;-;1;-;1
"290490 Cachoeira";-;-;-;-;1;-;1
"290560 Camacan";-;1;1;-;-;-;2
"290570 Camaçari";3;6;2;7;1;2;21
"290600 Campo Formoso";-;-;-;-;1;-;1
"290630 Canavieiras";4;2;-;-;-;1;7
"290650 Candeias";1;-;-;1;5;1;8
"290690 Caravelas";-;-;-;-;1;-;1
"290760 Central";-;-;-;1;-;-;1
"290810 Cocos";-;-;1;-;-;-;1
"290850 Conceição do Jacuípe";-;-;-;4;-;-;4
"290860 Conde";-;-;-;-;1;-;1
"291072 Eunápolis";-;-;-;-;2;-;2
"291080 Feira de Santana";2;-;1;3;4;3;13
"291100 Floresta Azul";-;3;-;-;-;-;3
"291185 Heliópolis";1;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;1;-;1
"291345 Igrapiúna";-;-;-;-;1;1;2
"291360 Ilhéus";4;3;3;1;11;28;50
"291400 Ipirá";-;-;-;1;-;-;1
"291465 Itabela";-;1;-;-;-;-;1
"291480 Itabuna";3;5;3;5;4;6;26
"291490 Itacaré";-;1;-;-;-;1;2
"291550 Itajuípe";-;1;-;-;-;2;3
"291590 Itanagra";-;-;-;-;1;-;1
"291620 Itapé";1;-;-;1;-;-;2
"291640 Itapetinga";-;-;1;1;-;1;3
"291660 Itapitanga";-;-;-;1;-;-;1
"291680 Itarantim";-;-;1;-;-;-;1
"291730 Ituberá";1;-;-;-;-;-;1
"291740 Jacaraci";-;-;-;-;-;1;1
"291750 Jacobina";-;-;1;1;-;-;2
"291780 Jaguaripe";-;1;-;-;-;-;1
"291800 Jequié";-;-;-;-;1;2;3
"291920 Lauro de Freitas";5;1;7;-;3;3;19
"291950 Livramento de Nossa Senhora";-;-;-;-;1;-;1
"291992 Madre de Deus";-;-;1;-;-;-;1
"292100 Mata de São João";-;-;-;1;2;-;3
"292120 Miguel Calmon";-;2;-;-;-;-;2
"292130 Milagres";-;-;-;1;-;-;1
"292250 Nazaré";-;-;-;-;2;1;3
"292420 Pedro Alexandre";-;-;-;1;-;-;1
"292520 Pojuca";-;-;1;-;-;-;1
"292530 Porto Seguro";2;-;2;13;16;8;41
"292550 Prado";-;-;-;-;2;-;2
"292590 Quijingue";-;-;-;1;-;-;1
"292600 Remanso";-;-;-;1;-;-;1
"292610 Retirolândia";-;-;-;1;-;-;1
"292740 Salvador";70;78;83;78;136;84;529
"292800 Santaluz";1;-;-;-;-;-;1
"292860 Santo Amaro";6;-;4;-;1;-;11
"292900 São Félix";-;1;-;-;-;-;1
"292920 São Francisco do Conde";1;-;-;-;-;1;2
"292950 São Sebastião do Passé";-;-;-;1;1;1;3
"293070 Simões Filho";6;4;7;1;7;-;25
"293120 Taperoá";-;1;-;-;-;-;1
"293220 Ubaitaba";-;1;-;-;-;-;1
"293230 Ubatã";-;-;-;-;1;-;1
"293250 Una";-;-;1;-;-;-;1
"293270 Uruçuca";-;-;-;1;-;3;4
"293290 Valença";1;5;-;1;1;-;8
"293330 Vitória da Conquista";1;1;-;1;-;-;3
"310020 Abaeté";-;1;1;-;1;1;4
"310110 Aimorés";-;-;-;-;1;2;3
"310150 Além Paraíba";1;-;1;-;-;-;2
"310160 Alfenas";-;1;-;-;-;-;1
"310190 Alpinópolis";-;-;-;3;1;1;5
"310260 Andradas";1;-;-;-;-;-;1
"310370 Araponga";-;-;-;-;-;1;1
"310460 Astolfo Dutra";-;-;-;1;-;-;1
"310540 Barão de Cocais";-;-;-;-;1;-;1
"310620 Belo Horizonte";7;5;35;9;14;12;82
"310630 Belo Oriente";-;1;-;-;-;-;1
"310640 Belo Vale";-;-;-;-;-;1;1
"310660 Bertópolis";-;-;-;-;-;1;1
"310670 Betim";4;2;30;6;2;2;46
"310740 Bom Despacho";-;-;2;1;1;1;5
"310780 Bom Jesus do Galho";-;-;1;-;-;-;1
"310860 Brasília de Minas";-;-;1;-;-;-;1
"310890 Brazópolis";-;-;1;-;1;-;2
"310970 Cachoeira de Minas";-;-;-;1;-;-;1
"311000 Caeté";-;-;2;-;-;-;2
"311050 Camanducaia";-;-;-;-;1;-;1
"311100 Campestre";-;-;-;1;-;-;1
"311120 Campo Belo";-;3;-;-;-;-;3
"311290 Caputira";-;-;-;-;-;1;1
"311330 Carangola";-;-;-;-;1;-;1
"311340 Caratinga";-;-;22;6;-;-;28
"311390 Carmo da Cachoeira";1;-;-;-;-;-;1
"311400 Carmo da Mata";-;-;-;-;-;1;1
"311410 Carmo de Minas";-;-;-;-;-;1;1
"311430 Carmo do Paranaíba";-;-;-;1;-;1;2
"311440 Carmo do Rio Claro";1;-;-;-;-;-;1
"311510 Cássia";1;-;-;-;-;-;1
"311530 Cataguases";2;-;-;-;-;-;2
"311570 Central de Minas";-;-;-;-;1;-;1
"311800 Congonhas";-;-;-;1;-;-;1
"311830 Conselheiro Lafaiete";-;-;-;1;-;-;1
"311840 Conselheiro Pena";-;-;1;-;-;-;1
"311860 Contagem";4;2;11;5;6;3;31
"311880 Coração de Jesus";-;-;-;-;1;-;1
"311910 Corinto";-;-;-;-;-;1;1
"311940 Coronel Fabriciano";-;1;1;-;1;-;3
"311995 Córrego Fundo";-;-;-;-;-;1;1
"312230 Divinópolis";-;-;3;-;-;1;4
"312240 Divisa Nova";-;-;-;-;-;1;1
"312250 Dom Cavati";-;-;1;-;-;-;1
"312260 Dom Joaquim";-;-;-;-;3;-;3
"312450 Estiva";-;-;-;1;-;1;2
"312570 Felixlândia";-;-;-;1;-;-;1
"312600 Florestal";-;-;-;1;1;1;3
"312610 Formiga";-;-;1;1;1;-;3
"312710 Frutal";-;-;-;-;-;1;1
"312770 Governador Valadares";-;2;6;1;3;-;12
